EIRY_eq,S,T,D,A,U,P
0.1,0.976177,1.83E-04,2.74E-04,0.0149634,0.00767384,
0.10975,0.974074,1.99E-04,2.98E-04,0.0163062,0.00832836,
0.12045,0.971803,2.17E-04,3.25E-04,0.0177597,0.00903198,
0.132194,0.969351,2.36E-04,3.54E-04,0.0193316,0.00978761,
0.145083,0.966708,2.56E-04,3.84E-04,0.0210302,0.0105983,
0.159228,0.96386,2.79E-04,4.18E-04,0.0228644,0.0114673,
0.174753,0.960794,3.03E-04,4.54E-04,0.024844,0.0123979,
0.191791,0.957494,3.29E-04,4.93E-04,0.0269794,0.0133939,
0.21049,0.953944,3.57E-04,5.35E-04,0.0292821,0.014459,
0.231013,0.950129,3.87E-04,5.80E-04,0.0317645,0.0155972,
0.253536,0.946029,4.19E-04,6.28E-04,0.03444,0.0168125,
0.278256,0.941626,4.53E-04,6.80E-04,0.0373231,0.0181089,
0.305386,0.936901,4.90E-04,7.35E-04,0.040429,0.0194905,
0.33516,0.931834,5.29E-04,7.93E-04,0.0437737,0.0209609,
0.367838,0.926405,5.70E-04,8.55E-04,0.0473732,0.0225233,
0.403702,0.920597,6.13E-04,9.20E-04,0.0512436,0.0241802,
0.443062,0.914392,6.59E-04,9.88E-04,0.0554003,0.0259332,
0.48626,0.907776,7.06E-04,0.00105947,0.0598575,0.0277829,
0.53367,0.900738,7.56E-04,0.00113399,0.0646277,0.0297285,
0.585702,0.893269,8.08E-04,0.00121159,0.0697214,0.031768,
0.642807,0.885365,8.62E-04,0.00129225,0.0751464,0.0338981,
0.70548,0.877024,9.17E-04,0.00137601,0.0809086,0.0361145,
0.774264,0.868248,9.75E-04,0.00146291,0.0870111,0.0384121,
0.849753,0.859041,1.04E-03,0.00155304,0.0934552,0.0407851,
0.932603,0.849408,1.10E-03,0.00164651,0.100241,0.0432279,
1.02353,0.839355,1.16E-03,0.00174344,0.107367,0.045735,
1.12332,0.828887,1.23E-03,0.00184395,0.114834,0.0483016,
1.23285,0.818007,1.30E-03,0.00194812,0.122641,0.050924,
1.35305,0.806715,1.37E-03,0.00205598,0.130791,0.0535994,
1.48497,0.795009,1.45E-03,0.00216753,0.139287,0.0563259,
1.62975,0.782882,1.52E-03,0.00228265,0.148139,0.0591028,
1.78865,0.770325,1.60E-03,0.00240115,0.157357,0.0619296,
1.96304,0.757326,1.68E-03,0.00252273,0.166954,0.0648054,
2.15443,0.743872,1.76E-03,0.00264701,0.176947,0.067729,
2.36449,0.729953,0.00184901,0.00277352,0.187351,0.070697,
2.59502,0.715562,0.00193447,0.0029017,0.198181,0.073704,
2.84804,0.700696,0.00202066,0.00303099,0.209449,0.0767413,
3.12572,0.685364,0.00210721,0.00316081,0.221164,0.0797972,
3.43047,0.669583,0.00219373,0.0032906,0.233324,0.0828559,
3.76494,0.653381,0.0022799,0.00341986,0.245924,0.085899,
4.13201,0.636797,0.00236542,0.00354813,0.258948,0.0889049,
4.53488,0.619879,0.00245005,0.00367508,0.272371,0.0918503,
4.97702,0.602684,0.0025336,0.0038004,0.286163,0.0947114,
5.46228,0.585275,0.00261593,0.00392389,0.300284,0.0974646,
5.99484,0.567718,0.00269694,0.00404541,0.314691,0.100088,
6.57933,0.550078,0.00277657,0.00416485,0.32934,0.102562,
7.22081,0.532417,0.00285476,0.00428213,0.344184,0.104872,
7.92483,0.514791,0.00293146,0.00439719,0.35918,0.107005,
8.69749,0.497248,0.00300664,0.00450996,0.374286,0.108954,
9.54548,0.479827,0.00308023,0.00462035,0.38947,0.110713,
10.4762,0.462556,0.00315216,0.00472825,0.404704,0.112284,
11.4976,0.445454,0.00322233,0.0048335,0.419968,0.113666,
12.6186,0.428533,0.00329061,0.00493591,0.43525,0.114863,
13.8489,0.411797,0.00335685,0.00503527,0.450542,0.115877,
15.1991,0.395248,0.00342088,0.00513132,0.465841,0.116711,
16.681,0.378888,0.00348253,0.00522379,0.481146,0.117366,
18.3074,0.36272,0.00354159,0.00531239,0.496456,0.117841,
20.0923,0.346752,0.0035979,0.00539686,0.511767,0.118132,
22.0513,0.330999,0.00365129,0.00547694,0.527071,0.118235,
24.2013,0.315479,0.00370161,0.00555241,0.542355,0.118144,
26.5609,0.30022,0.00374874,0.00562311,0.557602,0.117851,
29.1505,0.285252,0.00379261,0.00568891,0.572786,0.11735,
31.9927,0.270611,0.00383316,0.00574974,0.587878,0.116636,
35.1119,0.256331,0.00387039,0.00580558,0.602846,0.115705,
38.5353,0.24245,0.00390431,0.00585646,0.617655,0.114558,
42.2924,0.228999,0.00393498,0.00590248,0.632269,0.113196,
46.4159,0.216006,0.0039625,0.00594375,0.646652,0.111627,
50.9414,0.203495,0.00398698,0.00598047,0.660772,0.109858,
55.9081,0.191482,0.00400856,0.00601284,0.6746,0.107904,
61.3591,0.179975,0.00402739,0.00604109,0.688111,0.105779,
67.3415,0.168976,0.00404365,0.00606548,0.701284,0.103499,
73.9072,0.158482,0.00405751,0.00608626,0.714104,0.101083,
81.1131,0.148483,0.00406914,0.0061037,0.726561,0.0985482,
89.0215,0.138967,0.0040787,0.00611805,0.73865,0.0959137,
97.701,0.129918,0.00408636,0.00612953,0.750367,0.0931963,
107.227,0.121319,0.00409225,0.00613838,0.761712,0.0904122,
117.681,0.113152,0.00409652,0.00614479,0.772687,0.0875759,
129.155,0.105402,0.00409931,0.00614897,0.783295,0.0847005,
141.747,0.0980524,0.00410077,0.00615115,0.793538,0.0817977,
155.568,0.0910901,0.00410104,0.00615156,0.803418,0.0788775,
170.735,0.0845028,0.00410033,0.0061505,0.812939,0.075949,
187.382,0.0782797,0.00409887,0.00614831,0.8221,0.0730205,
205.651,0.0724109,0.00409695,0.00614543,0.830902,0.0700995,
225.702,0.0668871,0.00409492,0.00614237,0.839345,0.0671932,
247.708,0.0616994,0.00409319,0.00613979,0.847429,0.0643085,
271.859,0.0568383,0.00409228,0.00613842,0.855152,0.061452,
298.365,0.0522942,0.00409276,0.00613914,0.862515,0.0586307,
327.455,0.0480564,0.00409527,0.00614291,0.869516,0.0558511,
359.381,0.0441137,0.00410054,0.0061508,0.876156,0.0531198,
394.421,0.0404539,0.00410932,0.00616397,0.882435,0.0504432,
432.876,0.037064,0.00412242,0.00618363,0.888356,0.0478274,
475.081,0.0339303,0.00414068,0.00621103,0.89392,0.0452782,
521.401,0.0310386,0.00416495,0.00624743,0.899132,0.0428007,
