EIRY_eq,S,T,D,A,U,P
EIRY_eq,Sh(final):1,Th(final):1,Dh(final):1,A1h(final):1,Uh(final):1,
0.1,0.966905,0.00E+00,4.58E-04,0.0215527,0.0110841,
0.10975,0.964036,0.00E+00,4.99E-04,0.0234497,0.0120157,
0.12045,0.960941,0.00E+00,5.43E-04,0.0254992,0.0130161,
0.132194,0.957608,0.00E+00,5.91E-04,0.0277118,0.0140892,
0.145083,0.95402,0.00E+00,6.43E-04,0.0300982,0.0152389,
0.159228,0.950162,0.00E+00,6.99E-04,0.0326697,0.0164693,
0.174753,0.946018,0.00E+00,7.60E-04,0.0354382,0.0177843,
0.191791,0.941571,0.00E+00,8.25E-04,0.0384157,0.0191877,
0.21049,0.936806,0.00E+00,8.96E-04,0.0416151,0.0206832,
0.231013,0.931705,0.00E+00,9.71E-04,0.0450491,0.0222744,
0.253536,0.926252,0.00E+00,1.05E-03,0.0487311,0.0239644,
0.278256,0.92043,0.00E+00,1.14E-03,0.0526743,0.025756,
0.305386,0.914225,0.00E+00,1.23E-03,0.0568922,0.0276513,
0.33516,0.90762,0.00E+00,1.33E-03,0.0613979,0.0296519,
0.367838,0.900603,0.00E+00,1.43E-03,0.0662042,0.0317587,
0.403702,0.893161,0.00E+00,0.00154318,0.0713236,0.0339718,
0.443062,0.885284,0.00E+00,0.00165819,0.0767674,0.0362903,
0.48626,0.876962,0.00E+00,0.00177863,0.0825462,0.0387128,
0.53367,0.86819,0.00E+00,0.0019044,0.0886693,0.0412367,
0.585702,0.858961,0.00E+00,0.00203545,0.0951448,0.0438588,
0.642807,0.849274,0.00E+00,0.00217176,0.101979,0.0465751,
0.70548,0.839128,0.00E+00,0.00231339,0.109177,0.049381,
0.774264,0.828525,0.00E+00,0.00246042,0.116743,0.0522715,
0.849753,0.817468,0.00E+00,0.00261303,0.124678,0.0552415,
0.932603,0.80596,0.00E+00,0.00277142,0.132983,0.0582855,
1.02353,0.794007,0.00E+00,0.00293579,0.141659,0.0613985,
1.12332,0.781613,0.00E+00,0.00310636,0.150705,0.0645753,
1.23285,0.768785,0.00E+00,0.00328329,0.160121,0.067811,
1.35305,0.755527,0.00E+00,0.00346667,0.169905,0.0711008,
1.48497,0.741845,0.00E+00,0.00365648,0.180059,0.0744398,
1.62975,0.727741,0.00E+00,0.00385257,0.190584,0.0778229,
1.78865,0.713221,0.00E+00,0.00405463,0.20148,0.081244,
1.96304,0.69829,0.00E+00,0.0042622,0.212752,0.0846961,
2.15443,0.682954,0.00E+00,0.00447463,0.2244,0.0881705,
2.36449,0.667224,0.00E+00,0.00469115,0.236428,0.0916565,
2.59502,0.651112,0,0.00491088,0.248836,0.0951414,
2.84804,0.634637,0,0.00513285,0.26162,0.0986098,
3.12572,0.617824,0,0.00535613,0.274775,0.102044,
3.43047,0.600704,0,0.00557978,0.288291,0.105425,
3.76494,0.583316,0,0.00580296,0.302151,0.10873,
4.13201,0.565704,0,0.00602497,0.316333,0.111938,
4.53488,0.54792,0,0.00624521,0.33081,0.115025,
4.97702,0.530019,0,0.00646322,0.345549,0.117969,
5.46228,0.512059,0,0.00667867,0.360512,0.12075,
5.99484,0.494101,0,0.00689134,0.375659,0.123349,
6.57933,0.476201,0,0.00710106,0.390947,0.125751,
7.22081,0.458414,0,0.00730774,0.406335,0.127944,
7.92483,0.440788,0,0.0075113,0.421782,0.129919,
8.69749,0.423365,0,0.00771163,0.437252,0.131672,
9.54548,0.406178,0,0.00790861,0.452713,0.133201,
10.4762,0.389252,0,0.00810207,0.46814,0.134506,
11.4976,0.372603,0,0.00829178,0.483513,0.135592,
12.6186,0.356241,0,0.00847743,0.49882,0.136461,
13.8489,0.340172,0,0.00865863,0.514053,0.137116,
15.1991,0.324398,0,0.00883497,0.529207,0.13756,
16.681,0.30892,0,0.00900595,0.54428,0.137795,
18.3074,0.293741,0,0.00917107,0.559269,0.137819,
20.0923,0.278868,0,0.00932982,0.574172,0.137631,
22.0513,0.264311,0,0.00948171,0.58898,0.137227,
24.2013,0.250087,0,0.0096263,0.603684,0.136603,
26.5609,0.236215,0,0.00976322,0.618268,0.135754,
29.1505,0.22272,0,0.00989214,0.63271,0.134678,
31.9927,0.209627,0,0.0100129,0.646988,0.133372,
35.1119,0.196965,0,0.0101252,0.661074,0.131836,
38.5353,0.184758,0,0.0102293,0.674939,0.130074,
42.2924,0.17303,0,0.010325,0.688553,0.128091,
46.4159,0.161801,0,0.0104126,0.701888,0.125898,
50.9414,0.151083,0,0.0104925,0.714918,0.123506,
55.9081,0.140885,0,0.0105648,0.727619,0.120931,
61.3591,0.131206,0,0.0106302,0.739973,0.118191,
67.3415,0.122043,0,0.0106891,0.751964,0.115304,
73.9072,0.113384,0,0.0107421,0.763583,0.112291,
81.1131,0.105214,0,0.0107895,0.774825,0.109172,
89.0215,0.0975158,0,0.0108321,0.785687,0.105965,
97.701,0.0902674,0,0.0108702,0.796172,0.10269,
107.227,0.0834478,0,0.0109041,0.806283,0.0993647,
117.681,0.0770355,0,0.0109343,0.816027,0.0960034,
129.155,0.0710102,0,0.010961,0.825408,0.0926204,
141.747,0.0653528,0,0.0109844,0.834435,0.0892279,
155.568,0.0600463,0,0.0110049,0.843112,0.0858368,
170.735,0.055075,0,0.0110227,0.851446,0.0824564,
187.382,0.0504251,0,0.0110382,0.859441,0.0790954,
205.651,0.0460837,0,0.011052,0.867103,0.0757615,
225.702,0.0420389,0,0.0110647,0.874434,0.072462,
247.708,0.0382793,0,0.0110775,0.881439,0.0692038,
271.859,0.0347938,0,0.0110915,0.888121,0.0659935,
298.365,0.0315709,0,0.0111082,0.894483,0.0628376,
327.455,0.0285991,0,0.0111296,0.900529,0.0597424,
359.381,0.0258663,0,0.0111578,0.906262,0.0567141,
394.421,0.0233603,0,0.011195,0.911686,0.0537586,
432.876,0.0210682,0,0.0112438,0.916807,0.0508814,
475.081,0.0189769,0,0.0113069,0.921629,0.0480875,
521.401,0.0170735,0,0.0113871,0.926158,0.0453817,
572.237,0.0153445,0,0.0114871,0.930401,0.0427678,
628.029,0.0137772,0,0.0116097,0.934364,0.0402492,
689.261,0.0123587,0,0.0117576,0.938055,0.0378284,
756.463,0.0110769,0,0.0119338,0.941482,0.0355074,
830.218,0.00992009,0,0.0121408,0.944652,0.0332872,
911.163,0.00887734,0,0.0123815,0.947573,0.0311683,
1000,0.00793836,0,0.0126586,0.950253,0.0291504,
