EIRY_eq,S,T,D,A,U,P
0.1,0.971547,9.15E-05,3.66E-04,0.0182538,0.00937692,
0.10975,0.969061,9.96E-05,3.99E-04,0.0198731,0.0101697,
0.12045,0.96638,1.08E-04,4.34E-04,0.0216239,0.0110214,
0.132194,0.963488,1.18E-04,4.72E-04,0.0235153,0.0119353,
0.145083,0.960374,1.28E-04,5.14E-04,0.0255569,0.0129152,
0.159228,0.957022,1.40E-04,5.58E-04,0.0277588,0.0139644,
0.174753,0.953418,1.52E-04,6.07E-04,0.0301316,0.0150866,
0.191791,0.949547,1.65E-04,6.59E-04,0.0326868,0.0162857,
0.21049,0.945392,1.79E-04,7.15E-04,0.0354363,0.0175653,
0.231013,0.940936,1.94E-04,7.75E-04,0.0383928,0.0189293,
0.253536,0.936162,2.10E-04,8.40E-04,0.0415696,0.020381,
0.278256,0.931053,2.27E-04,9.09E-04,0.0449806,0.0219241,
0.305386,0.92559,2.46E-04,9.83E-04,0.0486401,0.0235615,
0.33516,0.919758,2.65E-04,1.06E-03,0.0525626,0.0252958,
0.367838,0.913539,2.86E-04,1.14E-03,0.0567627,0.0271291,
0.403702,0.906917,3.08E-04,1.23E-03,0.0612544,0.0290628,
0.443062,0.899881,3.30E-04,0.00132196,0.0660513,0.0310972,
0.48626,0.892416,3.54E-04,0.00141773,0.0711656,0.0332317,
0.53367,0.884516,3.79E-04,0.00151771,0.0766084,0.0354649,
0.585702,0.876172,4.05E-04,0.00162186,0.0823887,0.037794,
0.642807,0.867382,4.33E-04,0.00173015,0.0885139,0.0402155,
0.70548,0.858145,4.61E-04,0.00184263,0.0949893,0.0427248,
0.774264,0.848461,4.90E-04,0.00195937,0.101818,0.0453169,
0.849753,0.838336,5.20E-04,0.00208049,0.109002,0.0479864,
0.932603,0.827772,5.52E-04,0.00220615,0.116542,0.0507277,
1.02353,0.816776,5.84E-04,0.0023365,0.124437,0.0535355,
1.12332,0.805353,6.18E-04,0.00247172,0.132687,0.0564049,
1.23285,0.793507,6.53E-04,0.00261191,0.141292,0.0593314,
1.35305,0.781241,6.89E-04,0.00275716,0.150251,0.0623114,
1.48497,0.768556,7.27E-04,0.00290742,0.159569,0.0653415,
1.62975,0.75545,7.66E-04,0.00306257,0.169249,0.0684186,
1.78865,0.741922,8.06E-04,0.00322237,0.179297,0.0715395,
1.96304,0.727967,8.47E-04,0.00338642,0.189722,0.0747003,
2.15443,0.713584,8.89E-04,0.00355421,0.200533,0.077896,
2.36449,0.69877,9.31E-04,0.00372511,0.211738,0.0811197,
2.59502,0.683531,9.75E-04,0.00389841,0.223346,0.0843622,
2.84804,0.667873,0.00101833,0.00407334,0.235361,0.0876117,
3.12572,0.651813,0.00106228,0.00424914,0.247785,0.0908533,
3.43047,0.635375,0.00110626,0.00442506,0.260611,0.0940695,
3.76494,0.618592,0.00115011,0.00460043,0.273829,0.0972403,
4.13201,0.601507,0.00119367,0.00477467,0.287419,0.100344,
4.53488,0.584168,0.00123683,0.0049473,0.301356,0.103357,
4.97702,0.566633,0.00127949,0.00511796,0.315609,0.106256,
5.46228,0.548962,0.00132159,0.00528637,0.330137,0.10902,
5.99484,0.531217,0.00136308,0.00545233,0.344901,0.111628,
6.57933,0.513459,0.00140393,0.00561572,0.359856,0.114064,
7.22081,0.495748,0.00144411,0.00577644,0.374958,0.116312,
7.92483,0.478134,0.00148361,0.00593442,0.390166,0.118363,
8.69749,0.460663,0.00152239,0.00608957,0.40544,0.120211,
9.54548,0.443371,0.00156044,0.00624177,0.420748,0.121853,
10.4762,0.426283,0.00159772,0.00639089,0.436065,0.123289,
11.4976,0.409419,0.00163418,0.00653671,0.451369,0.124521,
12.6186,0.392789,0.00166975,0.00667901,0.466649,0.125552,
13.8489,0.376397,0.00170437,0.00681746,0.481897,0.126385,
15.1991,0.360245,0.00173793,0.00695174,0.497109,0.127022,
16.681,0.344335,0.00177036,0.00708145,0.512284,0.127466,
18.3074,0.328671,0.00180155,0.00720622,0.52742,0.127714,
20.0923,0.313259,0.00183141,0.00732565,0.542513,0.127765,
22.0513,0.298111,0.00185985,0.00743939,0.557557,0.127613,
24.2013,0.283246,0.00188678,0.00754711,0.572538,0.127255,
26.5609,0.268686,0.00191214,0.00764856,0.587441,0.126684,
29.1505,0.254459,0.00193588,0.00774352,0.602242,0.125895,
31.9927,0.240597,0.00195797,0.00783188,0.616917,0.124885,
35.1119,0.227129,0.00197839,0.00791356,0.631433,0.123653,
38.5353,0.214087,0.00199715,0.00798859,0.645761,0.122199,
42.2924,0.201499,0.00201427,0.00805707,0.659866,0.120527,
46.4159,0.189389,0.00202979,0.00811915,0.673717,0.118647,
50.9414,0.177775,0.00204377,0.00817508,0.687284,0.116568,
55.9081,0.166668,0.00205628,0.00822513,0.700542,0.114305,
61.3591,0.156074,0.00206741,0.00826964,0.713467,0.111874,
67.3415,0.145991,0.00207725,0.00830899,0.726043,0.109292,
73.9072,0.136411,0.00208588,0.00834353,0.738258,0.10658,
81.1131,0.127323,0.00209341,0.00837365,0.750103,0.103755,
89.0215,0.118712,0.00209993,0.00839971,0.761574,0.100837,
97.701,0.110558,0.0021055,0.00842202,0.772671,0.0978433,
107.227,0.102842,0.00211022,0.00844089,0.783397,0.094791,
117.681,0.0955457,0.00211414,0.00845658,0.793754,0.091695,
129.155,0.0886499,0.00211733,0.00846933,0.803747,0.0885688,
141.747,0.0821377,0.00211985,0.0084794,0.813381,0.0854242,
155.568,0.0759935,0.00212176,0.00848706,0.822661,0.0822718,
170.735,0.0702036,0.00212315,0.00849261,0.831589,0.0791207,
187.382,0.0647556,0.00212412,0.00849647,0.84017,0.0759793,
205.651,0.0596382,0.00212479,0.00849915,0.848405,0.0728553,
225.702,0.0548411,0.00212533,0.00850131,0.856297,0.0697559,
247.708,0.050354,0.00212594,0.00850378,0.863847,0.0666878,
271.859,0.0461668,0.00212689,0.00850755,0.871055,0.0636578,
298.365,0.0422693,0.00212846,0.00851384,0.877924,0.0606726,
327.455,0.0386503,0.002131,0.008524,0.884454,0.0577385,
359.381,0.0352986,0.0021349,0.0085396,0.890648,0.0548618,
394.421,0.0322018,0.00214058,0.0085623,0.896506,0.0520488,
432.876,0.0293472,0.00214848,0.00859391,0.902034,0.0493053,
475.081,0.0267216,0.00215907,0.0086363,0.907233,0.0466365,
521.401,0.0243114,0.00217284,0.00869136,0.912108,0.0440476,
572.237,0.0221027,0.00219026,0.00876104,0.916665,0.0415427,
628.029,0.0200819,0.00221181,0.00884726,0.920909,0.0391256,
689.261,0.0182353,0.00223798,0.00895191,0.924847,0.0367992,
756.463,0.01655,0.00226922,0.0090769,0.928485,0.0345656,
830.218,0.0150131,0.00230602,0.00922409,0.93183,0.0324265,
